Modelo,Accuracy,F1_Macro,Precision,Recall,AUC_ROC,Tempo(s),Tipo,Score
AttentionMLP,0.8268156424581006,0.8108531888059447,0.8270162439441436,0.8023715415019763,0.8586297760210805,6.03,DL,0.8299749010661321
MLP,0.8268156424581006,0.8080262930288877,0.833925925925926,0.7969696969696969,0.8607378129117259,6.3,DL,0.829476553822503
TabResNet,0.8212290502793296,0.8067476383265857,0.8168935815504307,0.8005270092226614,0.863768115942029,11.72,DL,0.8281982051970419
SVM,0.8156424581005587,0.8013585768571141,0.8096912048524951,0.7959815546772069,0.8479578392621872,0.07,Trad.,0.8196235199516694
RandomForest,0.8156424581005587,0.8037867463876432,0.8067176186645213,0.8013833992094861,0.8317523056653492,0.53,Trad.,0.8157331276848298
GradientBoosting,0.7988826815642458,0.7865659777424483,0.7883128997867804,0.7850461133069828,0.8447957839262188,0.4,Trad.,0.8077299307441187
LogisticRegression,0.7932960893854749,0.7864719347454622,0.7832571718710333,0.7940052700922267,0.8449275362318841,0.01,Trad.,0.8060558615833926
NaiveBayes,0.7541899441340782,0.7465894465894466,0.7441139240506329,0.7540843214756259,0.8109354413702239,0.0,Trad.,0.7681733942870693
DecisionTree,0.7486033519553073,0.738006179866645,0.7358429858429858,0.7414361001317523,0.7950592885375494,0.0,Trad.,0.758301264094515
